trade_id,direction,token_pair,timestamp,tx_hash,status,execution_type,profit,trade_balance,account_balance,flash_loan_fee,net_profit,data_file
uniswap-to-traderjoe_usdc_wbtc_1746835909118,uniswap-to-traderjoe,USDC-WBTC,1746835915,0x59e0fd66530d0a7e3c02d008b86166a8b09720500f1ca82903d6d24b02e7f7d6,success,flash_loan,-0.006396,1505157,1.505157,0,-0.006396,trade_data/raw_trades/uniswap-to-traderjoe_usdc_wbtc_1746835909118.json
uniswap-to-traderjoe_usdc_wbtc_1746835925059,uniswap-to-traderjoe,USDC-WBTC,1746835930,0xeabd3345464bc2f67413746643f74b951498932c9f311eb5ea683b39ec6086ee,success,flash_loan,-0.007022,1513399,1.513399,0,-0.007022,trade_data/raw_trades/uniswap-to-traderjoe_usdc_wbtc_1746835925059.json
uniswap-to-traderjoe_usdc_wavax_1746835940812,uniswap-to-traderjoe,USDC-WAVAX,1746835946,0x53b926b53883999cebe5294e73629f05a35e80ab512e1a50a6446f617b14fd78,success,flash_loan,-0.001332,1488825,1.488825,0,-0.001332,trade_data/raw_trades/uniswap-to-traderjoe_usdc_wavax_1746835940812.json
uniswap-to-traderjoe_usdc_wavax_1746835956782,uniswap-to-traderjoe,USDC-WAVAX,1746835962,0x9235aff397cec2f30e909c5e725c22bc2662e993cbc70e3613e46398283b6238,success,flash_loan,-0.002232,1496426,1.496426,0,-0.002232,trade_data/raw_trades/uniswap-to-traderjoe_usdc_wavax_1746835956782.json
